,Mon (8.30-11.00am),Mon (12.00-3.00pm),Mon (3.30-6.30pm),Tue (8.30-11.00am),Tue (12.00-3.00pm),Tue (3.30-6.30apm),Wed (8.30-11.00am),Wed (12.00-3.00pm),Wed (3.30-6.30pm),Thur (8.30-11.00am),Thur (12.00-3.00pm),Thur (3.30-6.30pm),Fri (8.30-11.00am),Fri (12.00-3.00pm),Fri (3.30-6.30pm)
0,"Monday,13/1/2020
DICT-DNDFC_120_FT_ICOS_Lec02/1 (Group A)
(8:30:00-11:30:00)
C02/C03","Monday,13/1/2020
DICT-DNDFC_120_FT_DDMG_Lec02
(12:00:00-15:00:00)
C01",,,,,,,,,,,,,
1,,,,,,,,"Wednesday,15/1/2020
DICT-DNDFC_120_FT_DDMG_Lec03 (Lab Grp 1)
(12:00:00-15:00:00)
D03",,,,,,,
2,,,,,,,,,,,,"Thursday,16/1/2020
DICT-DNDFC_120_FT_DDMG_Lec03 (Lab Grp 2)
(15:30:00-18:30:00)
D01",,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,"Thursday,23/1/2020
DICT-DNDFC_120_FT_ICOS_Lec03/1 (Group B)
(12:00:00-15:00:00)
B03/B04","Thursday,23/1/2020
DICT-DNDFC_120_FT_ICOS_Lec04/1 (Group A)
(15:30:00-18:30:00)
C02/C03",,,
7,,,"Monday,2/3/2020
DICT-DNDFC_120_FT_ICOS_Lec11/1 (Group B)
(15:30:00-18:30:00)
LT1",,,,,,,,,,,,
8,,,,,,,,,,,,,,"Friday,14/2/2020
DICT-DNDFC_120_FT_DDMG_Lec07
(12:00:00-15:00:00)
C01","Friday,14/2/2020
DICT-DNDFC_120_FT_ICOS_Lec07/1 (Group A)
(15:30:00-18:30:00)
C01"
9,,"Monday,17/2/2020
DICT-DNDFC_120_FT_ICOS_Lec08/1 (Group A)
(12:00:00-15:00:00)
C02/C03",,,,,,,,,,,,,
10,,,,,"Tuesday,18/2/2020
DICT-DNDFC_120_FT_DM_Lec10/1
(12:00:00-15:00:00)
C01","Tuesday,18/2/2020
DICT-DNDFC_120_FT_DDMG_Lec08 (Lab Grp1)
(15:30:00-18:30:00)
D03",,,,,,,,,
11,,,,,,,,,"Wednesday,19/2/2020
DICT-DNDFC_120_FT_DDMG_Lec08 (Lab Grp 2)
(15:30:00-18:30:00)
D03",,,,,,
12,,,,,,,,,,,,,,"Friday,21/2/2020
DICT-DNDFC_120_FT_DDMG_Lec09
(12:00:00-15:00:00)
C02/C03","Friday,21/2/2020
DICT-DNDFC_120_FT_DM_Lec11/1
(15:30:00-18:30:00)
C02/C03"
13,,"Monday,24/2/2020
DICT-DNDFC_120_FT_DDMG_Lec10
(12:00:00-15:00:00)
nan",,,,,,,,,,,,,
14,,,,,"Tuesday,25/2/2020
DICT-DNDFC_120_FT_DM_Lec12/1
(12:00:00-15:00:00)
nan",,,,,,,,,,
15,,,,,,,,"Wednesday,26/2/2020
DICT-DNDFC_120_FT_DDMG_Lec11 (Lab Grp 1)
(12:00:00-15:00:00)
D03","Wednesday,26/2/2020
DICT-DNDFC_120_FT_ICOS_Lec09/1 (Group B)
(15:30:00-18:30:00)
B03/B04",,,,,,
16,,,,,,,,,,"Thursday,27/2/2020
DICT-DNDFC_120_FT_DM_Lec13/1
(8:30:00-11:30:00)
nan",,"Thursday,27/2/2020
DICT-DNDFC_120_FT_ICOS_Lec10/1 (Group B)
(15:30:00-18:30:00)
B03/B04",,,
17,,,"Monday,3/2/2020
DICT-DNDFC_120_FT_ICOS_Lec04/1 (Group B)
(15:30:00-18:30:00)
LT2",,,,,,,,,,,,
18,,,,"Tuesday,3/3/2020
DICT-DNDFC_120_FT_ICOS_Lec12/1 (Group A)
(8:30:00-11:30:00)
C01","Tuesday,3/3/2020
DICT-DNDFC_120_FT_DM_Lec14/1
(12:00:00-15:30:00)
C02/C03","Tuesday,3/3/2020
DICT-DNDFC_120_FT_ICOS_Lec12/1 (Group B)
(15:30:00-18:30:00)
B03/B04",,,,,,,,,
19,,,,,,,,,,,,,"Friday,13/3/2020
DICT-DNDFC_120_FT_DM_Lec09/1
(8:30:00-11:30:00)
C01",,
20,,"Monday,16/3/2020
DICT-DNDFC_120_FT_ICOS_Lec07/1 (Group B)
(12:00:00-15:00:00)
B03/B04","Monday,16/3/2020
DICT-DNDFC_120_FT_ICOS_Lec15/1 (Group B)
(15:30:00-18:30:00)
LT3",,,,,,,,,,,,
21,,,,,,"Tuesday,17/3/2020
DICT-DNDFC_120_FT_ICOS_Lec05/1 (Group B)
(15:30:00-18:30:00)
LT3",,,,,,,,,
22,,,,"Tuesday,4/2/2020
DICT-DNDFC_120_FT_ICOS_Lec05/1 (Group A)
(8:30:00-11:30:00)
C01",,"Tuesday,4/2/2020
DICT-DNDFC_120_FT_DDMG_Lec04
(15:30:00-18:30:00)
C02/C03",,,,,,,,,
23,,,,,,,"Wednesday,4/3/2020
DICT-DNDFC_120_FT_DDMG_Lec11 (Lab Grp 2)
(8:30:00-11:30:00)
D02",,,,,,,,
24,,,,,,,"Wednesday,5/2/2020
DICT-DNDFC_120_FT_DM_Lec07/1
(8:30:00-11:30:00)
C02/C03",,,,,,,,
25,,,,,,,,,,"Thursday,5/3/2020
DICT-DNDFC_120_FT_DDMG_Lec13 (Lab Grp 1)
(8:30:00-11:30:00)
D03",,,,,
26,,,,,,,,,,"Thursday,6/2/2020
DICT-DNDFC_120_FT_ICOS_Lec06/1 (Group A)
(8:30:00-11:30:00)
C01",,,,,
27,,,,,,,,,,,,,"Friday,6/3/2020
DICT-DNDFC_120_FT_DDMG_Lec13 (Lab Grp 2)
(8:30:00-11:30:00)
D02",,
28,,,,,,"Tuesday,7/1/2020
DICT-DNDFC_120_FT_DM_Lec01/1
(15:30:00-18:30:00)
C01",,,,,,,,,
29,,,,,,,,,"Wednesday,8/1/2020
DICT-DNDFC_120_FT_DM_Lec02/1
(15:30:00-18:30:00)
C01",,,,,,
30,,,,,,,,,,"Thursday,9/1/2020
DICT-DNDFC_120_FT_DDMG_Lec01
(8:30:00-11:30:00)
C01",,,,,
31,"Monday,9/3/2020
DICT-DNDFC_120_FT_DDMG_Lec15
(8:30:00-11:30:00)
C02/C03","Monday,9/3/2020
DICT-DNDFC_120_FT_ICOS_Lec13/1 (Group A)
(12:00:00-15:00:00)
C01",,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,"Monday,10/2/2020
DICT-DNDFC_120_FT_DDMG_Lec05 (Lab Grp 2)
(15:30:00-18:30:00)
D03",,,,,,,,,,,,
34,,,,,"Tuesday,10/3/2020
DICT-DNDFC_120_FT_DM_Lec15/1
(12:00:00-15:30:00)
C01","Tuesday,10/3/2020
DICT-DNDFC_120_FT_ICOS_Lec13/1 (Group B)
(15:30:00-18:30:00)
B03/B04",,,,,,,,,
35,,,,,"Tuesday,11/2/2020
DICT-DNDFC_120_FT_DDMG_Lec05 (Lab Grp 1)
(12:00:00-15:00:00)
D01",,,,,,,,,,
36,,,,,,,"Wednesday,11/3/2020
DICT-DNDFC_120_FT_DDMG_Lec14 (Lab Grp 2)
(8:30:00-11:30:00)
D02","Wednesday,11/3/2020
DICT-DNDFC_120_FT_ICOS_Lec15/1 (Group A)
(12:00:00-15:00:00)
C02/C03",,,,,,,
37,,,,,,,,"Wednesday,12/2/2020
DICT-DNDFC_120_FT_DDMG_Lec06
(12:00:00-15:00:00)
C01","Wednesday,12/2/2020
DICT-DNDFC_120_FT_DM_Lec08/1
(15:30:00-18:30:00)
C01",,,,,,
38,,,,,,,,,,,"Thursday,12/3/2020
DICT-DNDFC_120_FT_DDMG_Lec14 (Lab Grp 1)
(12:00:00-15:00:00)
D03","Thursday,12/3/2020
DICT-DNDFC_120_FT_ICOS_Lec14/1 (Group B)
(15:30:00-18:30:00)
B05/B06",,,
